Line,id,Column,Row,Grid,Flowering_time,Plant_height,Leaf_area,Violaxanthin,Lutein,Betacarotene,Alphatocopherol,Total_carotenoids,log.Leaf_area,log.Alphatocopherol
F2,9,6,34,7,46,163,78.728,8.315744799,19.1570347,43.7936572,60.80821446,71.2664367,4.365998874,4.107724886
F2,6,6,35,7,34,118,13.087,3.629748302,19.41428571,40.57503408,50.37160608,63.61906809,2.571619371,3.919427645
F2,4,6,36,7,32,89,26.875,7.840839093,27.3680633,57.62447972,33.03391596,92.83338211,3.291196486,3.49753479
F2,2,8,36,13,32,140,50.513,7.912295752,36.75014648,87.34547383,132.0079161,27.83416076,3.922230729,4.882861891
F2,20,8,35,13,36,119,24.712,6.250492,19.63789992,44.20867271,31.71757058,70.09706463,3.207288956,3.456870804
F2,124,8,34,13,36,121,46.518,5.940858229,25.20427742,55.00497504,43.82875375,86.15011069,3.839839334,3.78029008
F2,14,8,33,13,36,176,39.214,7.637704306,30.12172764,58.56581156,26.83516623,96.32524351,3.669033826,3.2897132
F2,12,8,31,13,34,124,-,7.544428016,26.83116082,54.53563611,31.75334557,88.91122495,-,3.457998092
F2,81,1,14,4,37,65,24.182,3.438749594,8.855025258,21.52942987,28.93597532,33.82320472,3.185608555,3.365085642
F2,139,8,30,14,29,110,53.822,6.424014274,20.16229264,51.31704562,35.64905577,77.90335253,3.985682306,3.57372266
F2,151,8,29,14,32,166,-,6.893262986,23.11399404,57.76432776,59.19635318,87.77158479,-,4.080859938
F2,3,8,28,14,38,175,50.703,9.981749707,23.70924395,59.02627629,90.28541482,92.71726995,3.92598508,4.502975928
F2,1,8,27,14,36,104,55.356,5.039347656,20.64791569,52.93943572,78.62669907,50.82765482,4.013785054,4.364711325
F2,127,8,26,14,31,161,36.3,8.973777451,24.52288936,68.25352237,34.99670343,101.7501892,3.591817741,3.555253869
F2,17,8,25,14,36,152,-,5.94794656,20.1574263,42.11800141,26.1126772,68.22337427,-,3.262420913
F2,101,8,24,15,34,90,23.636,4.252260811,17.80245147,43.62535325,38.80304502,65.68006553,3.162770973,3.658498723
F2,11,8,23,15,-,-,-,-,-,-,-,-,-,-
F2,8,8,22,15,33,168,48.741,10.8095362,24.40128736,53.78151515,20.72880807,88.99233871,3.886520565,3.031524427
F2,52,8,21,15,-,-,-,-,-,-,-,-,-,-
F2,58,1,13,4,36,115,38.209,9.026292952,26.26050229,68.77054849,46.3629709,104.0573437,3.64307109,3.8365011
F2,86,1,12,5,39,149,41.842,8.452599475,20.5018322,49.28192791,27.64528031,78.23635959,3.73390062,3.319455019
F2,188,1,10,5,34,147,53.372,8.412528923,22.75961481,60.71782335,49.35784714,91.88996708,3.977286264,3.899096763
F2,90,1,9,5,36,136,56.334,8.375125539,18.3722828,56.30301009,74.87046739,83.05041843,4.031298261,4.315759519
F2,132,1,8,5,31,88,43.935,8.715614497,19.87147766,48.55430567,31.44144253,77.14139783,3.782711269,3.448126849
F2,97,1,7,5,42,137,78.568,9.787073312,28.60579962,77.29531915,43.43532866,115.6881921,4.363964492,3.771273134
F2,78,1,6,6,31,58,31.033,3.812331546,25.96337891,65.38365711,45.16945125,95.15936757,3.435051154,3.810421001
F2,123,1,33,1,27,57,13.518,4.656993553,19.92435995,48.8252295,35.39840844,73.406583,2.604022131,3.56666686
F2,66,1,5,6,40,132,26.162,4.854899756,24.04420905,47.57295939,25.17653778,76.4720682,3.264307976,3.22591252
F2,79,1,4,6,35,133,29.972,4.929432277,15.05587455,38.77963298,28.17550712,58.76493981,3.400263613,3.338453059
F2,121,1,3,6,35,82,17.577,9.312133053,29.86448461,72.70132759,47.73737677,111.8779453,2.866591229,3.865714671
F2,50,1,2,6,42,176,116.416,11.86056001,27.31540968,69.30922449,51.17031417,108.4851942,4.757169983,3.935159563
F2,96,1,1,6,30,108,33.158,7.234792628,19.79859539,47.32114796,59.11642593,74.35453598,3.501284015,4.07950882
F2,118,2,1,6,43,161,72.6,9.409402922,30.13209146,69.11892593,45.56437372,108.6604203,4.284964922,3.819126133
F2,131,2,2,6,37,103,28.848,7.914790472,25.87326493,74.05581521,64.33694708,107.8438706,3.362040666,4.164134071
F2,56,2,4,6,35,78,33.237,2.65916132,22.04631434,56.3293731,95.60229367,81.03484876,3.503663713,4.560196812
F2,48,2,5,6,31,78,19.163,9.227784348,27.5345791,65.20187721,61.66026412,101.9642407,2.952981336,4.121639706
F2,84,1,32,1,46,150,55.042,6.30670691,26.39005874,63.14272684,14.3642996,95.83949249,4.00809653,2.664745934
F2,41,2,6,6,36,103,37.112,9.871222859,20.00068076,50.69356194,53.38642625,80.56546556,3.613940367,3.977556524
F2,57,2,7,5,30,122,25.314,6.272325493,26.21921923,52.57039454,19.91477933,85.06193926,3.231357602,2.991462136
F2,110,2,9,5,37,178,41.697,7.161807169,22.74639902,49.05146916,25.81016888,78.95967535,3.730429184,3.250768557
F2,115,2,10,5,39,155,57.408,7.637193555,26.18880316,59.03209411,52.24754602,92.85809083,4.050183666,3.955992924
F2,135,2,11,5,37,118,48.525,9.131538879,27.03949608,62.96984343,52.86942228,99.14087839,3.882079129,3.967825143
F2,106,2,12,5,31,120,59.398,7.864157541,23.48327464,57.99575035,39.62190951,89.34318253,4.084260556,3.679382236
F2,85,2,13,4,35,164,42.627,13.34197614,31.29564044,71.90314511,22.76499236,116.5407617,3.752487855,3.125223933
F2,155,2,14,4,35,81,18.499,5.111598749,28.60939354,67.15195944,29.34010305,100.8729517,2.917716677,3.378955285
F2,39,2,15,4,29,79,17.651,3.391469234,21.83137495,60.75102158,47.43425559,85.97386576,2.870792439,3.859344659
F2,157,2,16,4,30,126,38.813,3.311515442,20.65703812,58.9923954,38.65544688,82.96094896,3.658755242,3.654687693
