Line,ID,Column,Row,Grid,meanLength,meanWidth,meanLeng6,meanVD_in_um.mm2,flowering.time,plant.height..cm.,leaf.weight,leaf_area..cm².,Violaxanthin..ug.g.,Lutein..ug.g.,Betacarotene..ug.g.,Alphatocopherol..ug.g.,Total_carotenoids..ug.g.,noout.meanLength,noout.meanWidth,noout.meanVD_in_um.mm2,noout.flowering.time,noout.plant.height..cm.,noout.leaf.weight,noout.leaf_area,noout.Alphatocopherol..ug.g.,sqrt.noout.meanVD_in_um.mm2,cbrt.flowering.time,sqaure.plant.height..cm.,logPls1.leaf.weight,sqrt.leaf.area,log.Alphatocopherol..ug.g.
F2,47,2,15,4,50.64272222,131.2230833,297.6843333,6271.682025,40,47,0.4,15.73333333,10.79927849,31.40986659,67.83103237,25.18209745,110.0401774,50.64272222,131.2230833,6271.682025,40,47,0.4,15.73333333,25.18209745,79.19395195,3.419951893,2209,0.336472237,3.966526608,3.226133323
F2,48,2,16,4,44.42863889,116.6706389,269.9666667,6600.865238,42,52,0.8,32.33333333,,,,,,44.42863889,116.6706389,6600.865238,42,52,0.8,32.33333333,,81.24570904,3.476026645,2704,0.587786665,5.686240703,
F2,49,2,17,4,42.28283333,119.9024722,273.129,6586.556347,41,57,0.6,24.2,11.37800131,24.86888251,59.13445446,11.48101807,95.38133828,42.28283333,119.9024722,6586.556347,41,57,0.6,24.2,11.48101807,81.15760191,3.44821724,3249,0.470003629,4.91934955,2.440695069
F2,50,2,18,4,41.01488889,117.427,272.7451667,6528.779474,35,44,0.4,15.5,15.73644907,42.84959544,95.04308144,13.01709046,153.6291259,41.01488889,117.427,6528.779474,35,44,0.4,15.5,13.01709046,80.80086308,3.27106631,1936,0.336472237,3.937003937,2.566263145
F2,51,2,19,3,50.18669445,127.564,297.132,5990.882544,37,58,0.4,18.4,5.686556665,17.41710538,35.8477772,5.173431661,58.95143924,50.18669445,127.564,5990.882544,37,58,0.4,18.4,5.173431661,77.40079162,3.332221852,3364,0.336472237,4.289522118,1.643536233
F2,52,2,20,3,40.888,119.1641667,215.624,7004.542505,39,51,0.6,21.6,12.70396089,29.29341775,63.59467557,7.012563021,105.5920542,40.888,119.1641667,7004.542505,39,51,0.6,21.6,7.012563021,83.69314491,3.391211443,2601,0.470003629,4.647580015,1.947703258
F2,53,2,21,3,36.33605556,103.8143333,225.4538333,7188.968202,38,57,0.9,38.76666667,6.148765326,15.38396715,34.7655793,9.883492891,56.29831178,36.33605556,103.8143333,7188.968202,38,57,0.9,38.76666667,9.883492891,84.78778333,3.361975407,3249,0.641853886,6.226288354,2.290865981
F2,54,2,22,3,54.75761111,130.3417778,330.6026667,6304.76963,40,49,0.8,36.66666667,12.02973181,27.66831018,69.54388242,10.49953239,109.2419244,54.75761111,130.3417778,6304.76963,40,49,0.8,36.66666667,10.49953239,79.40257949,3.419951893,2401,0.587786665,6.055300708,2.351330722
F2,55,2,23,3,48.55697223,121.69925,274.7141667,6326.573653,38,57,0.5,24.7,14.21164235,40.60061492,90.68382755,34.25734594,145.4960848,48.55697223,121.69925,6326.573653,38,57,0.5,24.7,34.25734594,79.53976146,3.361975407,3249,0.405465108,4.969909456,3.533901022
F2,56,2,24,3,46.43658334,124.54875,301.841,6179.24508,42,71,1.7,74.83333333,17.38862057,47.66673989,101.1549286,19.969513,166.210289,46.43658334,124.54875,6179.24508,42,71,1.7,74.83333333,19.969513,78.60817438,3.476026645,5041,0.993251773,8.650626181,2.994206761
F2,57,2,25,2,36.86030556,109.9073333,229.8678333,7775.178456,36,39,0,11.2,19.6488081,45.82326808,117.4360978,8.005489312,182.908174,36.86030556,109.9073333,7775.178456,36,39,0,11.2,8.005489312,88.17697237,3.301927249,1521,0,3.346640106,2.08012747
F2,58,2,26,2,50.772,133.0712222,284.0116667,6915.282284,,,,,5.172452228,16.81972718,33.73592328,3.471465093,55.72810268,50.772,133.0712222,6915.282284,,,,,3.471465093,83.15817629,,,,,1.244576722
F2,59,2,27,2,39.67458333,120.3241667,255.333,6320.819812,47,39,0.5,23.33333333,14.02582982,28.06497765,66.75691784,21.58794608,108.8477253,39.67458333,120.3241667,6320.819812,47,39,0.5,23.33333333,21.58794608,79.50358364,3.60882608,1521,0.405465108,4.830458915,3.072135107
F2,60,2,29,2,42.99508334,131.6298611,266.8523333,6974.032012,35,49,0.9,39.2,13.06886064,38.73650388,92.76230016,20.9183692,144.5676647,42.99508334,131.6298611,6974.032012,35,49,0.9,39.2,20.9183692,83.51067005,3.27106631,2401,0.641853886,6.260990337,3.040627682
F2,61,2,30,2,46.59730555,121.25225,262.4588333,6446.192947,38,58,0.5,19.83333333,19.41935042,43.42155145,99.40106294,9.874556497,162.2419648,46.59730555,121.25225,6446.192947,38,58,0.5,19.83333333,9.874556497,80.28818685,3.361975407,3364,0.405465108,4.453463072,2.289961398
F2,62,2,31,1,45.91063889,115.8889444,274.7651667,7060.188189,37,47,1,37.2,13.10286849,30.34961303,74.37369293,10.48455423,117.8261745,45.91063889,115.8889444,7060.188189,37,47,1,37.2,10.48455423,84.024926,3.332221852,2209,0.693147181,6.099180273,2.349903148
